cum_recipients,cum_funding
0.005847953216374269,0.22362057527955276
0.011695906432748537,0.2705794975095785
0.017543859649122806,0.3092708348888125
0.023391812865497075,0.3429621026595702
0.029239766081871343,0.3727187968198994
0.03508771929824561,0.39822216804491756
0.04093567251461988,0.4184268072926063
0.04678362573099415,0.43776270415285795
0.05263157894736842,0.45559555219593384
0.05847953216374269,0.4731102412911473
0.06432748538011696,0.4896153499525846
0.07017543859649122,0.50611764746438
0.07602339181286549,0.5221291357575253
0.08187134502923976,0.5378477041989347
0.08771929824561403,0.552879270402288
0.0935672514619883,0.5678082720893393
0.09941520467836257,0.5819649472331951
0.10526315789473684,0.5953451810259082
0.1111111111111111,0.6085141758993188
0.11695906432748537,0.6206373397258187
0.12280701754385964,0.632154540290181
0.1286549707602339,0.6435431545837218
0.13450292397660818,0.6548584019146899
0.14035087719298245,0.6655330566321188
0.14619883040935672,0.6757210625746094
0.15204678362573099,0.6853638949136155
0.15789473684210525,0.6949836494246474
0.16374269005847952,0.7044117787909838
0.1695906432748538,0.7128009111584427
0.17543859649122806,0.7209991113127687
0.18128654970760233,0.7291884385514688
0.1871345029239766,0.7365698522832927
0.19298245614035087,0.7439019412088774
0.19883040935672514,0.7511531177902336
0.2046783625730994,0.7581073627029946
0.21052631578947367,0.7650466426446241
0.21637426900584794,0.7718471374776947
0.2222222222222222,0.7784540177288265
0.22807017543859648,0.7850109815542241
0.23391812865497075,0.7915224363814445
0.23976608187134502,0.7979144654024384
0.24561403508771928,0.8041362750714124
0.25146198830409355,0.8101406589009473
0.2573099415204678,0.8158318797066944
0.2631578947368421,0.821367956678231
0.26900584795321636,0.8267644852922876
0.27485380116959063,0.8319118356827303
0.2807017543859649,0.8367615447835556
0.28654970760233917,0.8414702386006883
0.29239766081871343,0.8459585741699139
0.2982456140350877,0.8504195537681504
0.30409356725146197,0.854780802431434
0.30994152046783624,0.858880679726965
0.3157894736842105,0.8629413180559465
0.3216374269005848,0.8669960751471767
0.32748538011695905,0.8709626522224342
0.3333333333333333,0.8748267977261948
0.3391812865497076,0.8784978389022009
0.34502923976608185,0.8821418832831808
0.3508771929824561,0.8854985268183967
0.3567251461988304,0.8887336920125704
0.36257309941520466,0.8919149032079835
0.3684210526315789,0.8949794320151443
0.3742690058479532,0.8980249976343765
0.38011695906432746,0.9009127889658911
0.38596491228070173,0.903763023608177
0.391812865497076,0.9065821728066208
0.39766081871345027,0.9093973610289317
0.40350877192982454,0.9121680064619268
0.4093567251461988,0.9149270581609312
0.4152046783625731,0.9174521048395162
0.42105263157894735,0.9199602969778374
0.4269005847953216,0.9224297187305168
0.4327485380116959,0.9248897084874832
0.43859649122807015,0.9272393303818556
0.4444444444444444,0.9293923735523427
0.4502923976608187,0.9314991504866229
0.45614035087719296,0.9335914515147233
0.4619883040935672,0.9356544844030927
0.4678362573099415,0.9376624925816337
0.47368421052631576,0.9395661734407517
0.47953216374269003,0.9414492760625821
0.4853801169590643,0.9433013844113579
0.49122807017543857,0.9451485140628046
0.49707602339181284,0.9468177972123005
0.5029239766081871,0.948476550757115
0.5087719298245614,0.9501241009065133
0.5146198830409356,0.9517658371132827
0.52046783625731,0.9533820840163619
0.5263157894736842,0.9549028519683715
0.5321637426900585,0.9564174177547428
0.5380116959064327,0.9578631388510678
0.543859649122807,0.9592362402830513
0.5497076023391813,0.9605676678336499
0.5555555555555556,0.9618602442041632
0.5614035087719298,0.9631191803339696
0.5672514619883041,0.9643669727743119
0.5730994152046783,0.9655688136603796
0.5789473684210527,0.9667692806043636
0.5847953216374269,0.9679362944512123
0.5906432748538012,0.9690856283515545
0.5964912280701754,0.9702081501826533
0.6023391812865497,0.9713214597681795
0.6081871345029239,0.9723901464079744
0.6140350877192983,0.9734448100404504
0.6198830409356725,0.9744732686365813
0.6257309941520468,0.9754843864818306
0.631578947368421,0.9764653477506944
0.6374269005847953,0.9774258753123141
0.6432748538011696,0.9783737610284846
0.6491228070175439,0.9793193655944733
0.6549707602339181,0.9802257466073163
0.6608187134502924,0.9811290079337983
0.6666666666666666,0.9820316080621958
0.672514619883041,0.9829170857123142
0.6783625730994152,0.9837989590773131
0.6842105263157895,0.9846695063776929
0.6900584795321637,0.9854911985608944
0.695906432748538,0.98629571735793
0.7017543859649122,0.9870836464633198
0.7076023391812866,0.9878640495965254
0.7134502923976608,0.9886419807421335
0.7192982456140351,0.9893655303433225
0.7251461988304093,0.9900134910004228
0.7309941520467836,0.9906283505837256
0.7368421052631579,0.991230672051436
0.7426900584795322,0.9918186236598716
0.7485380116959064,0.9924009803034693
0.7543859649122807,0.9929437377971425
0.7602339181286549,0.9934125552451294
0.7660818713450293,0.9937850084955303
0.7719298245614035,0.9941544310812118
0.7777777777777778,0.9945112906682244
0.783625730994152,0.9948581255654565
0.7894736842105263,0.9951879022908763
0.7953216374269005,0.9955088312188097
0.8011695906432749,0.9958272506162579
0.8070175438596491,0.9961333934558528
0.8128654970760234,0.9964245340836522
0.8187134502923976,0.9967041712079967
0.8245614035087719,0.9969794967096669
0.8304093567251462,0.9972271771130998
0.8362573099415205,0.9974439177108876
0.8421052631578947,0.9976533173980779
0.847953216374269,0.9978571915982789
0.8538011695906432,0.9980498588435412
0.8596491228070176,0.9982371295169716
0.8654970760233918,0.9984157421221779
0.8713450292397661,0.9985914837374686
0.8771929824561403,0.9987459607320871
0.8830409356725146,0.9988970819029687
0.8888888888888888,0.9990469497861452
0.8947368421052632,0.9991858029285952
0.9005847953216374,0.999310972427253
0.9064327485380117,0.9994207172055171
0.9122807017543859,0.9995033770737841
0.9181286549707602,0.9995784093219946
0.9239766081871345,0.999645451113922
0.9298245614035088,0.99970382096892
0.935672514619883,0.999758164701808
0.9415204678362573,0.9998080249475322
0.9473684210526315,0.9998557493118868
0.9532163742690059,0.9999023548108794
0.9590643274853801,0.9999287425246027
0.9649122807017544,0.9999503789474686
0.9707602339181286,0.9999695979508878
0.9766081871345029,0.9999867918546785
0.9824561403508771,1.0000000000000004
0.9883040935672515,1.0000000000000004
0.9941520467836257,1.0000000000000004
1.0,1.0000000000000004
