cluster,share_projects,pretty_label
0,0.2648772371857218,"education, development, credit"
1,0.1039300565949593,"aggregated, Å“uvrent, engagera"
2,0.0377459276901751,"administrative, operating, expenses"
3,0.018881579451205,"outlined, exceptions, accordance"
4,0.0116473421812417,"corps, peace, volunteer"
5,0.0222005023855656,"scholarships, scholarship, students"
6,0.010053455049511,"staff, maintenance, such"
7,0.0045222359220996,"taxes, federal, contributions"
8,0.0083379921425672,"aids, hiv, prevention"
9,0.0361415103731897,projet
10,0.0179367346469899,"water, sanitation, supply"
11,0.0537058593779915,"narcotics, enforcement, law"
12,0.0362697871753831,"rights, civil, society"
13,0.0578030587316296,"development, sector, education"
14,0.0095001416788561,"humanitarian, volunteering, actions"
15,0.0466879695505334,"health, services, maternal"
16,0.2079366963554071,"development, will"
17,0.0196407100791104,"assistance, humanitarian, emergency"
18,0.0201356287860802,"redacted, unspecified, information"
19,0.0120455746417822,"goods, maintanence, miscellaneous"
