tfidf_cluster,cluster_sublabel,share_projects_pct,top_terms,keyword_hit_rate_pct
0,,26.49,"and, of, for, the, in, support, to, education, development, program, credit, services, management, administrative, training",0.5
16,,20.79,"the, and, to, of, in, for, is, development, will, support, on, with, project, by, program",2.4
1,,10.39,"tc, aggregated, activities, Å“uvrent, engagera, eng, engage, engageant, engaged, engagehcd, engagement, engagements, engagent, engager, engages",0.0
13,,5.78,"project, development, sector, and, education, emergency, rural, improvement, second, rehabilitation, agricultural, transport, support, irrigation, 02",0.7
11,,5.37,"narcotics, enforcement, law, bureau, affairs, international, of, and, department, state, inl, redacted, information, the, covers",0.5
15,,4.67,"health, and, the, to, of, in, services, maternal, project, child, care, for, global, reproductive, family",0.2
2,,3.77,"usaid, administrative, operating, expenses, contributing, costs, transportation, travel, and, pay, benefits, advisory, to, rental, of",0.0
12,,3.63,"rights, and, civil, society, the, human, to, of, in, democracy, for, democratic, political, will, participation",0.3
9,,3.61,"et, de, des, les, la, le, en, pour, du, projet, dans, aux, au, the, to",0.8
5,,2.22,"scholarships, scholarship, students, the, in, korea, gks, of, for, from, p185, student, foreign, schoolchildren, countries",0.0
18,,2.01,"redacted, unspecified, information, multi, state, bureau, sector, department, affairs, eurasian, eur, of, european, nea, near",0.1
17,,1.96,"assistance, humanitarian, emergency, food, and, aid, affected, security, export, in, border, to, protection, for, control",0.1
3,,1.89,"outlined, exceptions, accordance, transparency, act, accountability, field, redacted, 2016, foreign, aid, usaid, this, with, in",0.0
10,,1.79,"water, sanitation, supply, project, and, drinking, in, resources, the, of, management, devices, rural, to, for",2.1
19,,1.2,"goods, maintanence, miscellaneous, operations, services, usaid, contributing, operating, expenses, administrative, and, costs, to, of, dos",0.0
4,,1.16,"corps, peace, volunteer, solutions, costs, protection, and, training, medical, idps, assistance, overseas, internally, disasters, victims",0.0
6,,1.01,"staff, maintenance, such, funded, administering, oversight, us, administration, cost, costs, programs, program, as, training, rssas",0.0
14,,0.95,"humanitarian, volunteering, actions, solidarity, echo, vsi, offices, p209, aid, french, support, operational, assistance, ngo, field",0.0
8,,0.83,"aids, hiv, prevention, control, disease, centers, for, pepfar, and, support, administrative, costs, program, treatment, activities",0.0
7,,0.45,"taxes, federal, contributions, payments, grants, other, or, consented, subdivisions, readjustment, taxing, quotas, veterans, gratuities, lump",2.4
