year,tfidf_cluster,n,n_year,share
2015,0,29043,83542,0.34764549567882025
2015,1,11738,83542,0.14050417753944125
2015,2,7,83542,8.379018936582797e-05
2015,4,1083,83542,0.012963539297598813
2015,5,1529,83542,0.01830217136290728
2015,6,1900,83542,0.022743051399296162
2015,8,960,83542,0.011491225970170693
2015,9,2112,83542,0.025280697134375522
2015,10,1880,83542,0.02250365085825094
2015,11,80,83542,0.0009576021641808911
2015,12,4278,83542,0.05120777572957315
2015,13,4612,83542,0.05520576476502837
2015,14,484,83542,0.005793493093294391
2015,15,4582,83542,0.05484666395346054
2015,16,17532,83542,0.20985851428024227
2015,17,1703,83542,0.02038495607000072
2015,18,19,83542,0.00022743051399296162
2016,0,28993,94024,0.30835744065345017
2016,1,12239,94024,0.13016889304858334
2016,2,1335,94024,0.014198502509997447
2016,4,1109,94024,0.011794860886582149
2016,5,2397,94024,0.02549349102356845
2016,6,3167,94024,0.03368288947502765
2016,8,947,94024,0.010071896537054368
2016,9,3088,94024,0.032842678465072744
2016,10,2057,94024,0.02187739300604101
2016,11,59,94024,0.0006274993618650557
2016,12,4759,94024,0.050614736662979665
2016,13,5509,94024,0.05859142346634902
2016,14,1289,94024,0.013709265719390793
2016,15,5241,94024,0.05574108738194503
2016,16,19352,94024,0.20581979069173828
2016,17,2472,94024,0.026291159703905387
2016,18,11,94024,0.00011699140644941716
2017,0,30313,96642,0.31366279671364417
2017,1,11827,96642,0.12237950373543593
2017,2,10,96642,0.00010347467974586618
2017,4,2006,96642,0.020757020757020756
2017,5,2071,96642,0.021429606175368886
2017,6,2957,96642,0.030597462800852633
2017,8,591,96642,0.006115353572980692
2017,9,4621,96642,0.047815649510564766
2017,10,1562,96642,0.016162744976304298
2017,11,38,96642,0.0003932037830342915
2017,12,4351,96642,0.045021833157426375
2017,13,2864,96642,0.029635148279216077
2017,14,346,96642,0.00358022391920697
2017,15,4444,96642,0.045984147679062934
2017,16,22097,96642,0.2286479998344405
2017,17,2166,96642,0.022412615632954616
2017,18,4378,96642,0.04530121479274021
2018,0,36186,112494,0.3216704890927516
2018,1,10704,112494,0.0951517414262094
2018,2,10573,112494,0.09398723487474887
2018,4,758,112494,0.006738137145092183
2018,5,1934,112494,0.017192028019272138
2018,6,425,112494,0.0037779792700055113
2018,8,714,112494,0.006347005173609259
2018,9,3520,112494,0.031290557718633885
2018,10,2089,112494,0.01856987928245062
2018,11,2,112494,1.7778725976496524e-05
2018,12,3444,112494,0.030614966131527015
2018,13,5701,112494,0.050678258396003345
2018,14,477,112494,0.004240226145394421
2018,15,6003,112494,0.05336284601845432
2018,16,20412,112494,0.18144967731612352
2018,17,1554,112494,0.0138140700837378
2018,18,5034,112494,0.044749053282841754
2018,19,2964,112494,0.026348071897167848
2019,0,25335,102144,0.24803218984962405
2019,1,11730,102144,0.11483787593984962
2019,2,9223,102144,0.09029409461152882
2019,3,33,102144,0.0003230733082706767
2019,4,1492,102144,0.014606829573934837
2019,5,2871,102144,0.028107377819548873
2019,6,391,102144,0.0038279291979949875
2019,7,23,102144,0.00022517230576441102
2019,8,422,102144,0.004131422305764411
2019,9,2965,102144,0.02902764724310777
2019,10,2072,102144,0.020285087719298246
2019,11,57,102144,0.0005580357142857143
2019,12,3708,102144,0.03630169172932331
2019,13,5789,102144,0.056674890350877194
2019,14,2337,102144,0.022879464285714284
2019,15,5169,102144,0.05060502819548872
2019,16,21559,102144,0.21106477130325815
2019,17,2087,102144,0.020431939223057645
2019,18,2259,102144,0.022115836466165415
2019,19,2622,102144,0.025669642857142856
2020,0,25350,104387,0.24284633143973866
2020,1,11457,104387,0.10975504612643337
2020,2,4090,104387,0.03918112408633259
2020,3,5046,104387,0.04833935260137757
2020,4,1116,104387,0.010690986425512755
2020,5,3906,104387,0.037418452489294644
2020,6,406,104387,0.003889373197811988
2020,7,35,104387,0.00033529079291482654
2020,8,625,104387,0.00598733558776476
2020,9,1454,104387,0.013928937511375937
2020,10,2003,104387,0.019188213091668502
2020,11,113,104387,0.0010825102742678687
2020,12,3138,104387,0.030061214519049306
2020,13,7210,104387,0.06906990334045428
2020,14,1949,104387,0.018670907296885628
2020,15,5354,104387,0.05128991157902804
2020,16,24925,104387,0.23877494324005863
2020,17,1915,104387,0.018345196240911226
2020,18,2744,104387,0.026286798164522403
2020,19,1551,104387,0.014858171994597028
2021,0,27023,163394,0.16538550987184353
2021,1,12907,163394,0.07899310868208136
2021,2,4101,163394,0.025098840838708888
2021,3,4721,163394,0.028893349817006746
2021,4,1055,163394,0.006456785438877804
2021,5,2008,163394,0.012289312949067897
2021,6,382,163394,0.0023379071446931955
2021,7,3711,163394,0.022711972287844107
2021,8,2457,163394,0.01503727187044812
2021,9,1534,163394,0.00938834963340147
2021,10,1638,163394,0.01002484791363208
2021,11,55724,163394,0.34104067468817706
2021,12,4029,163394,0.02465818818316462
2021,13,8175,163394,0.050032436931588674
2021,14,1094,163394,0.006695472293964283
2021,15,5008,163394,0.030649840263412366
2021,16,23783,163394,0.14555614037235148
2021,17,2146,163394,0.013133897205527743
2021,18,522,163394,0.0031947317526959374
2021,19,1376,163394,0.008421361861512662
2022,0,33666,120495,0.27939748537283704
2022,1,12586,120495,0.10445246690734056
2022,2,4723,120495,0.03919664716378273
2022,3,4772,120495,0.039603303041619985
2022,4,1237,120495,0.010265986140503756
2022,5,3071,120495,0.025486534710983857
2022,6,438,120495,0.0036350056018921947
2022,7,955,120495,0.007925640068052617
2022,8,1038,120495,0.008614465330511639
2022,9,2419,120495,0.020075521805884063
2022,10,2091,120495,0.017353417154238764
2022,11,24,120495,0.00019917838914477779
2022,12,3699,120495,0.030698369226938877
2022,13,8962,120495,0.0743765301464791
2022,14,1622,120495,0.0134611394663679
2022,15,6128,120495,0.05085688202829993
2022,16,25302,120495,0.20998381675588199
2022,17,3074,120495,0.025511432009626956
2022,18,2893,120495,0.024009294991493423
2022,19,1795,120495,0.014896883688119839
2023,0,40786,167494,0.24350723010973527
2023,1,13379,167494,0.07987748814882921
2023,2,5368,167494,0.03204890921465844
2023,3,5152,167494,0.030759310781281718
2023,4,2311,167494,0.013797509164507385
2023,5,3404,167494,0.020323116051918277
2023,6,436,167494,0.002603078319223375
2023,8,956,167494,0.005707667140315474
2023,9,16041,167494,0.09577059476757377
2023,10,3345,167494,0.019970864627986674
2023,11,5,167494,2.9851815587424026e-05
2023,12,6482,167494,0.03869989372753651
2023,13,11560,167494,0.06901739763812435
2023,14,326,167494,0.0019463383763000466
2023,15,6842,167494,0.04084922444983104
2023,16,42252,167494,0.252259782439968
2023,17,3400,167494,0.020299234599448338
2023,18,3174,167494,0.018949932534896772
2023,19,2275,167494,0.013582576092277933
